orderId,customerName,amount
1,Customer_341,389.64
2,Customer_535,296.94
3,Customer_654,721.54
4,Customer_381,387.99
5,Customer_880,169.64
6,Customer_520,162.5
7,Customer_841,243.08
8,Customer_321,537.9
9,Customer_184,686.74
10,Customer_491,461.79
11,Customer_779,174.74
12,Customer_873,605.16
13,Customer_612,149.68
14,Customer_435,356.02
15,Customer_541,710.91
16,Customer_778,456.71
17,Customer_258,304.86
18,Customer_175,743.3
19,Customer_652,748.17
20,Customer_908,788.23
21,Customer_704,978.0
22,Customer_911,635.74
23,Customer_94,493.2
24,Customer_441,764.31
25,Customer_644,485.0
26,Customer_757,589.15
27,Customer_649,99.51
28,Customer_166,993.07
29,Customer_762,348.57
30,Customer_383,876.25
31,Customer_374,537.5
32,Customer_647,347.14
33,Customer_781,793.0
34,Customer_30,399.09
35,Customer_454,441.44
36,Customer_448,882.04
37,Customer_378,505.14
38,Customer_875,575.36
39,Customer_994,835.47
40,Customer_347,533.7
41,Customer_638,957.7
42,Customer_994,110.79
43,Customer_208,839.74
44,Customer_88,380.14
45,Customer_267,433.77
46,Customer_796,557.79
47,Customer_167,942.12
48,Customer_801,294.18
49,Customer_425,973.46
50,Customer_286,616.99
51,Customer_466,214.92
52,Customer_491,79.24
53,Customer_713,948.45
54,Customer_494,953.63
55,Customer_1,61.7
56,Customer_984,306.46
57,Customer_349,422.07
58,Customer_591,894.57
59,Customer_860,127.66
60,Customer_843,749.46
61,Customer_78,963.91
62,Customer_642,394.24
63,Customer_219,449.21
64,Customer_615,81.67
65,Customer_168,944.42
66,Customer_877,443.24
67,Customer_639,448.23
68,Customer_535,244.36
69,Customer_894,792.7
70,Customer_81,551.37
71,Customer_916,309.12
72,Customer_718,792.27
73,Customer_109,630.13
74,Customer_806,340.42
75,Customer_776,341.35
76,Customer_557,303.94
77,Customer_408,352.08
78,Customer_372,293.08
79,Customer_715,928.75
80,Customer_899,903.83
81,Customer_826,800.03
82,Customer_502,489.16
83,Customer_600,587.14
84,Customer_385,278.09
85,Customer_7,861.99
86,Customer_398,394.78
87,Customer_580,737.69
88,Customer_639,79.63
89,Customer_281,484.61
90,Customer_765,80.16
91,Customer_778,802.06
92,Customer_702,59.52
93,Customer_652,234.88
94,Customer_942,762.96
95,Customer_803,682.08
96,Customer_570,280.77
97,Customer_128,424.0
98,Customer_46,251.98
99,Customer_228,120.41
100,Customer_854,784.09
101,Customer_287,747.11
102,Customer_432,148.42
103,Customer_645,849.44
104,Customer_538,956.32
105,Customer_945,130.52
106,Customer_383,693.75
107,Customer_692,622.35
108,Customer_731,44.88
109,Customer_255,359.79
110,Customer_586,559.24
111,Customer_896,843.31
112,Customer_133,447.83
113,Customer_283,657.17
114,Customer_944,117.63
115,Customer_332,230.81
116,Customer_231,762.2
117,Customer_669,860.77
